,max_drawdown
sim_444,-0.19702870959720709
sim_445,-0.247509835607013
sim_446,-0.28328287546306585
sim_447,-0.19323751195812955
sim_448,-0.2992584505865057
sim_449,-0.2021253412496311
sim_450,-0.2239902826222846
sim_451,-0.4118929222385058
sim_452,-0.1904533930603869
sim_453,-0.2141684945737089
sim_454,-0.18889429882638342
sim_455,-0.2148306718500379
sim_456,-0.21761589211646648
sim_457,-0.20136881957512165
sim_458,-0.15356955789014115
sim_459,-0.235065470813421
sim_460,-0.20307848214908597
sim_461,-0.1682681149879437
sim_462,-0.17278484889110668
sim_463,-0.3763835782251881
sim_464,-0.1877110768302891
sim_465,-0.4778661644020398
sim_466,-0.2703558299566141
sim_467,-0.26251683311522445
sim_468,-0.2673594147148456
sim_469,-0.18823442484795838
sim_470,-0.2903859356607713
sim_471,-0.2676644249898906
sim_472,-0.14322249398492104
sim_473,-0.1687402202511199
sim_474,-0.14772688276846846
sim_475,-0.1255929595247367
sim_476,-0.38234201082446073
sim_477,-0.21155026874925742
sim_478,-0.30577153674965174
sim_479,-0.1407516036082429
sim_480,-0.15578829109515813
sim_481,-0.16709800144545905
sim_482,-0.26368864647335555
sim_483,-0.24392688690527864
sim_484,-0.2167737709309232
sim_485,-0.1568810691923972
sim_486,-0.29036418505566275
sim_487,-0.22994705564019868
sim_488,-0.21874202059197811
sim_489,-0.12607802587455286
sim_490,-0.16793683139794524
sim_491,-0.28930926336106266
sim_492,-0.1401922581599102
sim_493,-0.31744313650280687
sim_494,-0.2675624613967331
sim_495,-0.3052564685828747
sim_496,-0.23664217214838745
sim_497,-0.2224962857582421
sim_498,-0.22493923180635833
sim_499,-0.15288803354867964
sim_500,-0.21107437230576986
sim_501,-0.2665313899501265
sim_502,-0.2160319166454484
sim_503,-0.25634722353198003
sim_504,-0.31814128110917084
sim_505,-0.35224039333869595
sim_506,-0.29994911973326566
sim_507,-0.2641003720563194
sim_508,-0.1813753413264383
sim_509,-0.1636534651998688
sim_510,-0.2592205089192251
sim_511,-0.18719647660961014
sim_512,-0.37965776699415066
sim_513,-0.12119692902324353
sim_514,-0.27890570092358324
sim_515,-0.18313560347272184
sim_516,-0.19771043775693975
sim_517,-0.1568780808596273
sim_518,-0.1397828221761651
sim_519,-0.2095306432132944
sim_520,-0.2775093626346088
sim_521,-0.3001135650194403
sim_522,-0.22545014583928602
sim_523,-0.1796693578462234
sim_524,-0.2060944861470061
sim_525,-0.37147063465519714
sim_526,-0.13578702805217824
sim_527,-0.19243403214565968
sim_528,-0.1307859168631631
sim_529,-0.30694107033373463
sim_530,-0.3139550880473472
sim_531,-0.32842744725613315
sim_532,-0.3174627267914958
sim_533,-0.26555368397412327
sim_534,-0.352041379869648
sim_535,-0.16820733342445982
sim_536,-0.29577275074492804
sim_537,-0.2712808538084591
sim_538,-0.1935275861875002
sim_539,-0.43906794666511384
sim_540,-0.1755187250106559
sim_541,-0.19357021580277411
sim_542,-0.1568852220564857
sim_543,-0.16521893949994004
sim_544,-0.22214505006660257
sim_545,-0.11482328603103253
sim_546,-0.19209007487090257
sim_547,-0.15924610180273935
sim_548,-0.12752284791283586
sim_549,-0.30213839924365327
sim_550,-0.23277046032179127
sim_551,-0.49789036492638117
sim_552,-0.20243558222051194
sim_553,-0.3145860755618627
sim_554,-0.18068077245800584
sim_555,-0.35231024616976647
sim_556,-0.22707565845722755
sim_557,-0.22016277347145574
sim_558,-0.11384026661575652
sim_559,-0.43770637909043386
sim_560,-0.23646209927106898
sim_561,-0.219525392742852
sim_562,-0.3580802213475942
sim_563,-0.22714104638161192
sim_564,-0.15539169349246584
sim_565,-0.5097303767525541
sim_566,-0.5129981221984421
sim_567,-0.20975129482081478
sim_568,-0.1798974809391476
sim_569,-0.20490685865773983
sim_570,-0.22060665982950434
sim_571,-0.1602686070547198
sim_572,-0.35799517414993387
sim_573,-0.2841528866193167
sim_574,-0.23482938976706347
sim_575,-0.26956981959936466
sim_576,-0.49881247496942727
sim_577,-0.28619079603035125
sim_578,-0.532206591821738
sim_579,-0.21439646134862655
sim_580,-0.24980109984103493
sim_581,-0.264817153978266
sim_582,-0.24098897812898756
sim_583,-0.2739304542713602
sim_584,-0.2572964145487219
sim_585,-0.2113683800468279
sim_586,-0.08439219619936755
sim_587,-0.2515501912962884
sim_588,-0.2500289485301317
sim_589,-0.2465457899161455
sim_590,-0.24461774207880949
sim_591,-0.46440752552487463
sim_592,-0.18309363568557524
sim_593,-0.30312441810412294
sim_594,-0.1294803975561768
sim_595,-0.24360846526677427
sim_596,-0.34919032352387525
sim_597,-0.38927760388860244
sim_598,-0.3667497558512559
sim_599,-0.31499959500521246
sim_600,-0.2222859352454598
sim_601,-0.2517161867266162
sim_602,-0.3472798911599637
sim_603,-0.3449620590005501
sim_604,-0.27287821945406976
sim_605,-0.4226330690449709
sim_606,-0.2497732681479634
sim_607,-0.15837026337340177
sim_608,-0.21818282601560723
sim_609,-0.315180826568084
sim_610,-0.2892864501530026
sim_611,-0.33012560940577695
sim_612,-0.2870024660681477
sim_613,-0.3952523567049897
sim_614,-0.1456200992390232
sim_615,-0.3647182299439369
sim_616,-0.2907635794770931
sim_617,-0.23856860078138442
sim_618,-0.2021225125311873
sim_619,-0.292962669382143
sim_620,-0.374934551237888
sim_621,-0.2094037397431765
sim_622,-0.27334722548192014
sim_623,-0.31308433049874107
sim_624,-0.20014865469707444
sim_625,-0.21146476157796945
sim_626,-0.21424110399407692
sim_627,-0.19820545589606953
sim_628,-0.16110516474858505
sim_629,-0.1652485676467459
sim_630,-0.19512644165879156
sim_631,-0.3558846237638663
sim_632,-0.5165637673889343
sim_633,-0.2024924315500064
sim_634,-0.2561887107826011
sim_635,-0.20408378111624081
sim_636,-0.3905806424365116
sim_637,-0.33829841301262453
sim_638,-0.48870381305562627
sim_639,-0.37510755280807895
sim_640,-0.23839864865333538
sim_641,-0.14143141915784663
sim_642,-0.19176814091617211
sim_643,-0.2783485038198943
sim_644,-0.26041430845334435
sim_645,-0.23424567869252222
sim_646,-0.23994392166945622
sim_647,-0.22726240944436837
sim_648,-0.3245618363200956
sim_649,-0.4181516006211585
sim_650,-0.3950204252757282
sim_651,-0.20788304866644403
sim_652,-0.15705693793941033
sim_653,-0.20182186686834958
sim_654,-0.1953535873598592
sim_655,-0.1365836325603439
sim_656,-0.36867500823300225
sim_657,-0.28033289163582664
sim_658,-0.28402802234511626
sim_659,-0.24036696224911291
sim_660,-0.25683001491270396
sim_661,-0.14328363207908756
sim_662,-0.19497484509461915
sim_663,-0.37213011217575176
sim_664,-0.2966219758079114
sim_665,-0.293692660750165
sim_666,-0.2748479666015281
sim_667,-0.1360365640254383
sim_668,-0.21827469309826852
sim_669,-0.13482773610094667
sim_670,-0.15624239121397354
sim_671,-0.16163290120687435
sim_672,-0.19238818793726842
sim_673,-0.1572093359741632
sim_674,-0.1812162431767238
sim_675,-0.29644722665374446
sim_676,-0.18275543737773603
sim_677,-0.3107776446212519
sim_678,-0.2593071425630308
sim_679,-0.16271887262301232
sim_680,-0.2397741163037348
sim_681,-0.21203084966268348
sim_682,-0.22707489474556608
sim_683,-0.25646356028938955
sim_684,-0.24600972135456234
sim_685,-0.18423063835686238
sim_686,-0.20521516487602742
sim_687,-0.1950604681209991
sim_688,-0.24232584967494764
sim_689,-0.3129386791108486
sim_690,-0.19223476004265794
sim_691,-0.23249866557216103
sim_692,-0.290681133528525
sim_693,-0.4508979687615201
sim_694,-0.1968914334771803
sim_695,-0.26468469681961815
sim_696,-0.2363792023508916
sim_697,-0.1378007823320193
sim_698,-0.23048148201204066
sim_699,-0.22350432899224926
sim_700,-0.28349768498729666
sim_701,-0.35969348154722824
sim_702,-0.29592582903686704
sim_703,-0.25812506242634115
